标题,户型,户型1,房屋面积,楼层,小区,租赁类型,朝向,轨道交通,租金,地区
近地铁4/7/12号线 朝南精装一室户 随时看房 拎包入住,1室,1厅,38平米,2/6层,东安一村,整租,朝南,4/7/12号线,4100,xuhui安居客
汇成五村 精装一房 有钥匙 随时看房,1室,1厅,33平米,3/6层,汇成苑五村,整租,朝南,3号线,4000,xuhui安居客
12号地铁站虹漕南路 新出居家一房 采光十足温馨舒适拎包入住,1室,1厅,48平米,3/6层,万象园小区,整租,朝南,12号线,4000,xuhui安居客
金海大厦，精装电梯房，看房随时，紧邻地铁1.3.12号线，急,2室,2厅,88平米,7/20层,金海大厦,整租,南北,1/3/4/9号线,5400,xuhui安居客
《天然居 豪华装修》景观植物园，空气清新，可长签，居家好选择,3室,2厅,155平米,11/19层,天然居,整租,朝南,无,8000,xuhui安居客
怡桂苑出门是地铁 实图实价宜家精装修两房一厅 上班族很适合,2室,1厅,75平米,12/24层,怡桂苑,整租,南北,9/12号线,5700,xuhui安居客
12号线龙漕路站精装一房+家电全配+有钥匙随时看房+可长签,1室,1厅,45平米,2/6层,龙吴路11弄小区,整租,朝南,3/11/12号线,4000,xuhui安居客
畅你所想，双周给你一个新家，蛋壳公寓双周保洁让你呼吸新鲜空气,3室,1厅,18平米,15/27层,田林十四村,整租,东南,9/12号线,1630,xuhui安居客
五原路乌鲁木齐中路、三层整栋出租、可办工作室、四房只要两万五,4室,2厅,150平米,1/3层,五原路洋房,整租,朝南,1/7号线,25000,xuhui安居客
长桥三村居家一房一厅，交通方便，朝南采光好，配套齐全，急租!,1室,1厅,47平米,3/6层,长桥三村,整租,朝南,无,3000,xuhui安居客
上海南站金牛苑急租，精装全配，随时看房，随时入住,1室,1厅,26平米,10/26层,金牛苑,整租,东南,1/3号线,2490,xuhui安居客
华理苑，精装双南三房另带一厅，两房一样大， 居家，上班绝/配,3室,1厅,85平米,2/6层,华理苑,整租,朝南,1号线,5200,xuhui安居客
居家精装一房，配套齐全，中间楼层采光好绿化率高有钥匙随时看房,1室,1厅,41平米,3/6层,梅陇五村,整租,南北,1号线,2900,xuhui安居客
地铁1/3/4/11/12号线 龙吴路11弄精装两室拎包入住,2室,1厅,52平米,3/6层,龙吴路11弄小区,整租,朝南,3/11/12号线,4200,xuhui安居客
东湾小区、底楼带院子、精装修、交通便利、近地铁、拎包住！,1室,1厅,46平米,1/6层,东湾小区,整租,朝南,无,2800,xuhui安居客
金龙花苑 近云锦路地铁口 精装一房一厅 性价比高 随时看房,1室,1厅,45平米,3/6层,金龙花苑牡丹园,整租,朝南,3/11/12号线,3800,xuhui安居客
世家花园豪装两房两厅，新小区，环境好，配套齐全，随时看房,2室,2厅,110平米,19/35层,徐汇世家花园,整租,朝南,9号线,9500,xuhui安居客
近一号线+白色系装修+家电齐全+诚心出租+押一付一+随时看,2室,1厅,58平米,3/6层,华理苑,整租,朝南,1号线,3800,xuhui安居客
汇成五村 这房子可接受预定 月底交房 近地铁 步行即可 看房,1室,1厅,36平米,3/6层,汇成苑五村,整租,南北,3号线,2900,xuhui安居客
近1/3号线+装修+拎包入住+有钥匙+随时看房,2室,1厅,60平米,4/6层,长桥三村,整租,南北,无,3300,xuhui安居客
近上海南站，朝南一房，温馨居家，随时看房，你值得拥有！,1室,1厅,40平米,2/6层,汇成苑一村,整租,朝南,1/3号线,3100,xuhui安居客
田林长春新苑好房出租，家具齐全，装修小清新，随时看房,1室,1厅,30平米,24/31层,长春新苑,整租,东南,9号线,2900,xuhui安居客
小段上门实拍+粉色温馨+近打浦桥日月光+出门4/12号线,1室,1厅,42平米,3/6层,日晖二村,整租,朝南,4/12号线,4300,xuhui安居客
馨宁公寓、一房两厅、精装修全配、电梯房、小区车位充足！,1室,2厅,60平米,8/18层,馨宁公寓,整租,朝南,无,3200,xuhui安居客
房位置好 家电齐全 拎包入住 精装修 看了就相中,3室,1厅,19平米,17/27层,宜德苑,合租,东南,3/4/9号线,1720,xuhui安居客
东安二村 出门地铁4/7/12号线 宜家装修 随时拎包入住,1室,1厅,30平米,1/6层,东安二村,整租,东北,4/7/12号线,3600,xuhui安居客
有卫生间洁癖的你，没关系！选择蛋壳公寓，给你超大空间自由发挥,3室,1厅,52平米,16/29层,东方曼哈顿尚东区,整租,朝南,1/9/11号线,3980,xuhui安居客
真图实价 桂平小区 近12号线 上师大 漕河泾，有钥匙随时看,1室,1厅,48平米,3/6层,桂平小区,整租,南北,12号线,3800,xuhui安居客
家具家电全齐 拎包即住 低楼层带电梯 新房装修出租,1室,1厅,32平米,12/27层,航天新苑,整租,东南,9/12号线,2500,xuhui安居客
华泾板块+配套齐全+精美装修+干净整洁+拎包即住+诚心出租,2室,1厅,68平米,3/6层,名人花苑(东区),整租,南北,无,3200,xuhui安居客
全新宜家风格 浅色装修 看房方便 地铁10号线宋园路站,4室,2厅,156平米,9/19层,锦馨苑,整租,朝南,10号线,12500,xuhui安居客
新出金龙花苑玫瑰园精装三房 近云锦路站 看房方便有钥匙,3室,1厅,95平米,3/6层,金龙花苑玫瑰园,整租,朝南,11/12号线,7500,xuhui安居客
华理苑，华东理工大 学旁、精装修双南两房、看房随时、拎包入住,2室,1厅,65平米,1/6层,华理苑,整租,朝南,1号线,4500,xuhui安居客
和时间赛跑，赶地铁，住蛋壳公寓，出门左右拐就到地铁站,3室,1厅,17平米,10/23层,平福小区,合租,东南,无,1110,xuhui安居客
徐家汇福源汇居交通便利 家电齐全 可整租可合租,3室,1厅,18平米,16/21层,福源汇居,合租,东南,1/4号线,1140,xuhui安居客
田林怡桂苑好房出租 入住好礼 免费宽带 随时带看,3室,1厅,18平米,17/33层,怡桂苑,整租,东南,9/12号线,1250,xuhui安居客
精装大一房，居家温馨，非常干净，拎包即住,1室,1厅,45平米,4/6层,长桥三村,整租,朝南,无,2800,xuhui安居客
房位置好 家电齐全 拎包入住 精装修 看了就相中,3室,1厅,67平米,20/30层,华苑大厦,整租,朝南,1/3/4/9号线,3520,xuhui安居客
汇成桂苑近地铁站，适合上班精装豪配，随时看房,3室,1厅,18平米,13/29层,汇成桂苑,合租,东南,4/9/12号线,1210,xuhui安居客
田林十四村 近六院 9号线地铁随时入住生已经打扫干净,1室,1厅,45平米,3/6层,田林十四村,整租,朝南,9/12号线,4200,xuhui安居客
金牛苑 两房出租 干净清爽 真实图片 价格好商量 业主诚租,2室,1厅,65平米,1/6层,金牛苑,整租,南北,1/3号线,4200,xuhui安居客
小区房源，安静舒适家具齐全，服务周到，住得放心,1室,1厅,29平米,20/28层,正南花苑,整租,东南,1/3号线,2490,xuhui安居客
田林房主诚意出租，干净清爽，配套设施齐全，看房随时,3室,1厅,19平米,22/32层,怡桂苑,合租,东南,9/12号线,1780,xuhui安居客
"长桥七村,一号线旁,交通便利,便民生活,有钥匙，随时看房",1室,1厅,45平米,1/6层,长桥七村,整租,朝南,无,3300,xuhui安居客
房子装修还是不错的保养的蛮好的之前一直房东自住看房方便,1室,1厅,40平米,3/6层,长桥五村,整租,朝南,无,2600,xuhui安居客
徐家汇蛋壳公寓直租 押一付一  房间实拍 拎包即住,3室,1厅,26平米,25/32层,福源汇居,合租,朝南,1/4号线,2030,xuhui安居客
田林精装电梯房，高品质服务，家具齐全，随时带看,1室,1厅,23平米,19/31层,钦州花苑,整租,朝南,9号线,2050,xuhui安居客
斜土路西木好房出租 入住好礼 免费宽带 随时带看,3室,1厅,52平米,4/22层,西木小区,整租,朝南,4/7/12号线,3760,xuhui安居客
温馨舒适装修风格，近锦江乐园一号线，家电全配，随时看拎包入住,1室,1厅,45平米,3/6层,梅陇三村,整租,朝南,1号线,3000,xuhui安居客
家具家电全齐 拎包即住  新房装修出租 先到先得,3室,1厅,17平米,18/21层,汇京佳丽园,整租,东南,1/3号线,1410,xuhui安居客
蛋壳公寓 别和好房擦肩而过  找房终结者！,3室,1厅,17平米,20/27层,汇成苑四村,合租,东南,3号线,1430,xuhui安居客
不要错过，附近唯美一套电梯房，你想舒服，就订这套吧，拎包入住,2室,2厅,93平米,8/16层,长桥八村,整租,朝南,无,4500,xuhui安居客
地铁4/7/12线精装整租一室户随时看房户型房子,1室,1厅,55平米,3/6层,枫林新村,整租,南北,4/7/12号线,5400,xuhui安居客
新湖云庭+精装一房一厅+近地铁12/4号线 刚挂牌新房源,1室,1厅,56平米,8/16层,徐汇新湖云庭,整租,南北,4/7/12号线,5000,xuhui安居客
精装修 拎包入住 省钱省心 交通便利 购物方便,3室,1厅,21平米,25/28层,梅陇四村,整租,东南,1号线,1320,xuhui安居客
虹梅路2759弄小区精装修华丽出租，理想的选择在于此~！,1室,1厅,47平米,3/6层,航天新苑,整租,南北,9/12号线,4000,xuhui安居客
无论你在哪里，我都会给你温暖的家，我是蛋壳，我做的公寓您放心,3室,1厅,19平米,17/25层,巴黎时韵,合租,东南,9/12号线,1240,xuhui安居客
紫阳花苑、南北两房一厅、干净清爽、低于市场价、可办居住证！,2室,1厅,62平米,3/6层,紫阳花苑,整租,朝南,无,3000,xuhui安居客
蛋壳公寓 超享受！全新配置  一人一锁+安全巡查,3室,1厅,18平米,15/25层,影都小区,合租,东南,无,1050,songjiang安居客
出租 全明户型 有钥匙 双气两房 家具家电齐全,1室,1厅,29平米,19/31层,建设花园,整租,东南,9号线,2600,songjiang安居客
松江新城 江中公寓 4室厅2卫 南,4室,0厅,19平米,5/13层,江中公寓,合租,朝南,9号线,1630,songjiang安居客
九号线地铁口精装温馨两房，家具家电全配，随时拎包入住居家选择,2室,2厅,87平米,9/14层,新凯家园(一期),整租,南北,9号线,2600,songjiang安居客
九号线地铁口，精装2房，南北直通，房子干净整洁，看房方便！,2室,2厅,105平米,6/12层,九亭丽景苑,整租,南北,9号线,5200,songjiang安居客
"开学季，各种房源，蜂拥而出24,28,45,90应有尽有",1室,1厅,30平米,7/12层,龙湖新壹城,整租,朝南,9号线,1999,songjiang安居客
精装修 拎包入住 省钱省心 交通便利 购物方便,3室,1厅,16平米,20/26层,泰晤士小镇(公寓),合租,东南,无,1440,songjiang安居客
楼下就是大商场，小区出门就是地铁口，不选择蛋壳，我怕你后悔哦,1室,1厅,24平米,4/23层,新桥商苑,整租,东南,无,2260,songjiang安居客
松江大学城 御上海 3室厅2卫 南,3室,0厅,13平米,4/6层,御上海,合租,朝南,9号线,1790,songjiang安居客
家具家电全配，带车位，可以长签3年，精装三房，急租，值得拥有,3室,2厅,110平米,7/13层,美丽星城,整租,南北,9号线,6200,songjiang安居客
出门不带钥匙，让你的包包足够放化妆品 ，智能门锁你放心,3室,1厅,20平米,8/22层,保利西子湾,合租,东南,9号线,1000,songjiang安居客
品味灵性生活  低调的奢华与张扬  深度的品质追求,3室,1厅,17平米,19/31层,万宇阳光苑,合租,东南,无,1260,songjiang安居客
九亭蛋壳公寓直租 押一付一  房间实拍 拎包即住,3室,1厅,18平米,13/22层,翠亭别墅,合租,东南,9号线,1400,songjiang安居客
坐公交 在转地铁？不 住蛋壳，分就让到地铁口,1室,1厅,22平米,13/31层,鼎信公寓,整租,东南,9号线,2090,songjiang安居客
九亭上海源花城带飘窗单间，整洁舒适，配套齐全，随时看房,3室,1厅,58平米,12/24层,上海源花城,整租,朝南,无,3500,songjiang安居客
国庆大放价！乐购旁《开元新都》《主卧+独卫》精装全配、,3室,2厅,30平米,2/4层,开元新都,合租,朝南,无,2200,songjiang安居客
精致装修，温暖舒适周边配套设施齐全室友也都十分友好哦,1室,1厅,28平米,21/31层,佘北家园茸达苑,整租,东南,无,2180,songjiang安居客
九号线地铁500米，欧式装修整租两房，业主初次出租，随时看房,2室,2厅,87平米,7/14层,新凯城丹桂苑,整租,南北,9号线,2600,songjiang安居客
南北通透 采光好 地段 环境优美 交通便利 方便出行,3室,1厅,15平米,19/27层,佘北家园康桂苑,整租,东南,无,1070,songjiang安居客
入住减免2300 颜控福利 强迫症福利 温馨社区氛围 ,3室,1厅,19平米,13/26层,民乐一村,合租,东南,9号线,1690,songjiang安居客
畅你所想，双周给你一个新家，蛋壳公寓双周保洁让你呼吸新鲜空气,1室,1厅,26平米,8/27层,御泓苑,整租,东南,无,2120,songjiang安居客
双气房 朝南户型 采光好 精装修 家具家电齐全 拎包入住,1室,1厅,28平米,18/28层,上海青年城,整租,东南,9号线,2150,songjiang安居客
绿地蔷薇九里 9号地铁口500米 精装主卧 看房方便 可月付,3室,2厅,25平米,5/11层,绿地蔷薇九里(公寓),合租,朝南,9号线,1900,songjiang安居客
天南地北 海角天涯 不管在哪里 蛋壳都是你避风的港湾,3室,1厅,21平米,24/31层,三铭杰座,合租,东南,无,1940,songjiang安居客
拖包搬家很累赘？选蛋壳啊！直接拎包入住，方便家具样样齐全,3室,1厅,20平米,14/29层,祥东小区,合租,东南,无,1080,songjiang安居客
佘山9号线近地铁 佘北精装修三房 家具家电全配 随时看房,3室,2厅,106平米,4/7层,佘北家园茸达苑,整租,南北,无,2700,songjiang安居客
泗泾米兰诺贵都婚房出租 全新全套家具家电 温馨舒适,3室,1厅,18平米,8/26层,米兰诺贵都(别墅),整租,东南,9号线,1960,songjiang安居客
精装修 拎包入住 省钱省心 交通便利 购物方便,3室,1厅,20平米,21/30层,泗泾新苑,整租,东南,9号线,1900,songjiang安居客
付一押一+个人房源免中介++真实图片价格+民用水电+主卧朝南,4室,1厅,121平米,1/6层,文翔名苑(公寓),合租,朝南,无,5490,songjiang安居客
精致装修，家电齐全南北通透，采光好急租，拎包入住,1室,1厅,24平米,17/26层,佘北家园康桂苑,整租,东南,无,2360,songjiang安居客
闹中取静 双南户型 小房子也有大风景 经典单身公寓,3室,1厅,20平米,17/26层,海利苑,合租,东南,无,1530,songjiang安居客
朝南大次卧大阳台带电梯  阳光充足 干净卫生 免费看房,3室,1厅,50平米,25/28层,亭汇花苑,整租,朝南,9号线,3750,songjiang安居客
上班累很辛苦？回我们的家，蛋壳公寓给你不一样的爱,3室,1厅,18平米,7/25层,三湘四季花城,合租,东南,9号线,1690,songjiang安居客
绿庭：你没有看错，就等你来看房，近出门口位置，吃喝玩乐便利,3室,2厅,123平米,7/18层,绿庭尚城,整租,南北,9号线,6500,songjiang安居客
松江大学城 绿地蔷薇九里 3室厅2卫 南,3室,0厅,17平米,3/13层,绿地蔷薇九里(别墅),合租,朝南,9号线,2030,songjiang安居客
出门不带钥匙，让你的包包足够放化妆品 ，智能门锁你放心,3室,1厅,16平米,5/23层,康亭小区,合租,东南,9号线,1000,songjiang安居客
9号线地铁口！实地勘察 照片真实有钥匙随时看房，可拎包入住,1室,1厅,60平米,6/13层,泗泾新苑,整租,朝南,9号线,3400,songjiang安居客
拖包搬家很累赘？选蛋壳啊！直接拎包入住，方便家具样样齐全,1室,1厅,22平米,21/28层,上海家天下,整租,东南,无,2230,songjiang安居客
9号线泗泾站，高性价比，随时看房、可拎包入住的房间，交通便利,2室,2厅,98平米,7/14层,金港花园(一期公寓),整租,朝南,9号线,4300,songjiang安居客
